name,address,city,state,phone,website,types,lead_score,priority,review_count,rating,on_ubereats,on_grubhub,contact_by_date,latitude,longitude,place_id
ShopRite of Norwalk,"360 Connecticut Ave, Norwalk, CT 06854, USA",New York,NY,(203) 838-0504,https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=394,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2245,4.3,False,True,2026-01-31,41.1024779,-73.44022629999999,ChIJ1zlqG3Me6IkRQ1yxV9vbFCw
Made In New York Pizza,"421 Amsterdam Ave, New York, NY 10024, USA",New York,NY,(646) 484-6200,https://www.madeinnewyorkpizza.com/,"establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store",100,Critical,1220,4.6,True,True,2026-01-31,40.7838392,-73.9775697,ChIJL-LN1N1ZwokR8K2jACu6Ydw
QFC,"500 Mercer St, Seattle, WA 98109, USA",Seattle,WA,(206) 352-4020,https://www.qfc.com/stores/grocery/wa/seattle/uptown/705/00881?cid=loc_70500881_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1653,4.2,False,True,2026-01-31,47.62502689999999,-122.3471738,ChIJZ-cPR0cVkFQRdyzvy-ujhro
Meijer,"13521 Illinois Rte 59, Plainfield, IL 60544, USA",Chicago,IL,(815) 267-8000,https://www.meijer.com/shopping/store-locator/214.html?cmpid=LM:Web::::05112021::GoogleGrocery,"department_store,electronics_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,2219,4.4,False,True,2026-01-31,41.6348735,-88.19968759999999,ChIJc6FxEKz1DogROGQffAPZq0Q
Pete's Fresh Market #10 - Madison & Western,"2333 W Madison St, Chicago, IL 60612, USA",Chicago,IL,(312) 888-4600,http://www.petesfresh.com/,"cafe,establishment,food,grocery_or_supermarket,liquor_store,point_of_interest,store,supermarket",100,Critical,6426,4.4,False,True,2026-01-31,41.880507,-87.685599,ChIJnRjXeEMtDogRxiLDpbDSbTU
Ralphs,"2201 W Redondo Beach Blvd, Gardena, CA 90247, USA",Los Angeles,CA,(310) 538-9008,https://www.ralphs.com/stores/grocery/ca/gardena/gardena/703/00111?cid=loc_70300111_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,934,4.3,False,True,2026-01-31,33.8869831,-118.3184892,ChIJBdiDHJ61woARAlJOmomQZ50
Pete's Fresh Market #9 - Oakbrook Terrace,"17w675 Roosevelt Rd, Oakbrook Terrace, IL 60181, USA",Chicago,IL,(630) 812-6100,http://www.petesfresh.com/,"bakery,cafe,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,4662,4.5,True,True,2026-01-31,41.858949,-87.97341589999999,ChIJ0eamFqtNDogR86NVIcTIKJU
Jewel-Osco,"11730 S Marshfield Ave, Chicago, IL 60643, USA",Chicago,IL,(773) 568-8157,https://local.jewelosco.com/il/chicago/11730-s-marshfield-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1919,4.1,True,False,2026-01-31,41.6802451,-87.6645535,ChIJi7kZcPQkDogRj56B7FtyjUs
Jewel-Osco,"1224 S Wabash Ave, Chicago, IL 60605, USA",Chicago,IL,(312) 663-0580,https://local.jewelosco.com/il/chicago/1224-s-wabash-ave.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3804,4.1,True,False,2026-01-31,41.866463,-87.6262491,ChIJl69B35osDogR5VbyA6Qtvog
Ralphs,"4760 W Pico Blvd, Los Angeles, CA 90019, USA",Los Angeles,CA,(323) 937-4107,https://www.ralphs.com/stores/grocery/ca/los-angeles/pico-san-vincente/703/00291?cid=loc_70300291_gmb,"bakery,establishment,florist,food,grocery_or_supermarket,health,liquor_store,point_of_interest,store",100,Critical,1223,4.2,True,False,2026-01-31,34.0477879,-118.3394191,ChIJGS1WRfm4woARstuA8hLHW8k
