name,address,city,state,phone,website,types,lead_score,priority,review_count,rating,on_ubereats,on_grubhub,contact_by_date,latitude,longitude,place_id
Vons,"3461 W 3rd St, Los Angeles, CA 90020, USA",Los Angeles,CA,(213) 384-6552,https://local.vons.com/ca/los-angeles/3461-w-3rd-st.html,"bakery,establishment,florist,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,3576,4.2,False,True,2026-01-31,34.0699603,-118.2908839,ChIJnQk-VGTHwoARWshCMCP50us
Vallarta Supermarkets,"10950 Sherman Way Ste 110, Burbank, CA 91505, USA",Los Angeles,CA,(818) 526-0081,https://vallartasupermarkets.com/store-locations/Burbank-17,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1153,4.1,False,True,2026-01-31,34.2005996,-118.3686447,ChIJcfOGrUqUwoAR8oV7TGVaV2Q
Vallarta Supermarkets,"8510 Painter Ave Suite L, Whittier, CA 90602, USA",Los Angeles,CA,(562) 758-6464,https://vallartasupermarkets.com/store-locations/Whittier-50,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,854,4.2,True,False,2026-01-31,33.9606158,-118.0342431,ChIJJXTkdpzTwoARLeFGzJ5j9f8
Vallarta Supermarkets,"757 S Workman St, San Fernando, CA 91340, USA",Los Angeles,CA,(818) 365-8603,https://vallartasupermarkets.com/store-locations/SanFernando-43,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,772,4.1,True,False,2026-01-31,34.2826796,-118.4525433,ChIJy7-aFTiQwoARmN4wR8xwM-8
Vallarta Supermarkets,"3425 Whittier Blvd, Los Angeles, CA 90023, USA",Los Angeles,CA,(323) 980-4400,https://vallartasupermarkets.com/store-locations/EastLosAngeles-25,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,972,4.1,False,True,2026-01-31,34.0277641,-118.2000829,ChIJv8aC_1HPwoARNlzOzLFlnyk
Vallarta Supermarkets,"13940 Ramona Blvd, Baldwin Park, CA 91706, USA",Los Angeles,CA,(626) 480-8960,https://vallartasupermarkets.com/store-locations/BaldwinPark-15,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,624,4.2,True,False,2026-01-31,34.0831623,-117.9687551,ChIJGUFr4JzXwoARMuFBo8v7a5M
Made In New York Pizza,"421 Amsterdam Ave, New York, NY 10024, USA",New York,NY,(646) 484-6200,https://www.madeinnewyorkpizza.com/,"establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store",100,Critical,1220,4.6,True,True,2026-01-31,40.7838392,-73.9775697,ChIJL-LN1N1ZwokR8K2jACu6Ydw
Vallarta Supermarkets,"9136 Sepulveda Blvd, North Hills, CA 91343, USA",Los Angeles,CA,(818) 892-0923,https://vallartasupermarkets.com/store-locations/NorthHills-8,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1162,4.0,True,True,2026-01-31,34.236583,-118.4664138,ChIJJ-WGL76QwoARB51U80b-V5Q
Vallarta Supermarkets,"16040 Sherman Way, Van Nuys, CA 91406, USA",Los Angeles,CA,(818) 290-5131,https://vallartasupermarkets.com/store-locations/van-nuys-6/,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1024,4.2,True,True,2026-01-31,34.2003241,-118.4830209,ChIJrTz5KWKXwoAROAZd883H7QQ
Vallarta Supermarkets,"655 N Fair Oaks Ave, Pasadena, CA 91103, USA",Los Angeles,CA,(626) 204-6960,https://vallartasupermarkets.com/store-locations/Pasadena-51,"bakery,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket",100,Critical,1204,4.4,True,False,2026-01-31,34.1567375,-118.1522224,ChIJNzwJFwzDwoARvHdYAvWqAYE
