place_id,name,address,phone,rating,review_count,price_level,types,website,latitude,longitude,business_status,source,source_location,source_query,fetched_at
ChIJmx3iW_GAhYARrlV9H2vyE-E,Golden Boy Pizza,"542 Green St, San Francisco, CA 94133, USA",(415) 982-9738,4.7,4769,1.0,"establishment,food,point_of_interest,restaurant",http://www.goldenboypizza.com/,37.7997625,-122.4080927,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:39.037570
ChIJRYVeD6V_hYARnY1IPrjuF_Q,Pizzeria da Laura,"2049 Shattuck Ave., Berkeley, CA 94704, USA",(510) 984-0409,4.6,341,2.0,"establishment,food,point_of_interest,restaurant",http://www.pizzeriadalaura.com/,37.8713342,-122.2680799,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:39.358211
ChIJo3CA8_OAhYARhhs-L5RKHF4,Il Casaro Pizzeria,"348 Columbus Ave, San Francisco, CA 94133, USA",(415) 677-9455,4.6,2401,2.0,"establishment,food,point_of_interest,restaurant",https://www.ilcasaropizzeria.com/,37.7984717,-122.4073281,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:39.736162
ChIJX8bJu7l_j4ARy29utVyaOLM,Long Bridge Pizza Company,"2347 3rd St, San Francisco, CA 94107, USA",(415) 829-8999,4.6,1149,2.0,"establishment,food,point_of_interest,restaurant",http://www.longbridgepizza.com/,37.7594917,-122.3881833,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:40.043847
ChIJ4zlZM8aAhYARRTqiavm0Xcs,Pizzeria Delfina,"2406 California St, San Francisco, CA 94115, USA",(415) 440-1189,4.4,923,2.0,"establishment,food,point_of_interest,restaurant",https://www.pizzeriadelfina.com/location/pacific-heights/,37.7889721,-122.4343201,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:40.500133
ChIJr5hMNKF-hYARxmkk-5t0SzE,Cheese Board Collective Pizzeria,"1512 Shattuck Ave., Berkeley, CA 94709, USA",(510) 549-3183,4.8,3817,1.0,"establishment,food,point_of_interest,restaurant",http://cheeseboardcollective.coop/,37.8798723,-122.2694794,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:40.911323
ChIJHXHcEvGAhYARQPuHNN78s78,Tony's Pizza Napoletana,"1570 Stockton St, San Francisco, CA 94133, USA",(415) 835-9888,4.5,9777,2.0,"establishment,food,point_of_interest,restaurant",http://tonyspizzanapoletana.com/,37.8003815,-122.4090457,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:41.251309
ChIJNSDo7NV9hYARAZrk3W4pbBY,State Flour Pizza Company,"2985 College Ave, Berkeley, CA 94705, USA",,4.9,127,2.0,"establishment,food,meal_takeaway,point_of_interest,restaurant",https://stateflourpizza.com/,37.8564813,-122.2527931,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:41.587640
ChIJP8t6DXx9j4AROzp2mE-0NVE,Little Original Joe's,"393 W Portal Ave, San Francisco, CA 94127, USA",(415) 759-1155,4.6,540,2.0,"establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store",http://www.littleoriginaljoes.com/,37.7365752,-122.4703196,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:41.985201
ChIJCS_HTDq7j4ARskXdL5usfsU,Pizzeria Delfina - Palo Alto,"651 Emerson St, Palo Alto, CA 94301, USA",(650) 353-2208,4.4,1489,2.0,"bar,establishment,food,point_of_interest,restaurant",https://www.pizzeriadelfina.com/location/palo-alto/,37.4434222,-122.1604222,OPERATIONAL,google_places,"San Francisco, CA",pizza restaurants,2026-01-28T15:59:42.444300
